Population within 1000m radius,id,name,functional_status,type,category,timestamp,lga_name,state_name,geometry_y,Status,geometry
3617,279,Kareto Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mobbar,Borno,POINT (880838.4727016944 1426798.029972641),Valid,POINT (12.50830356801325 12.882989173010833)
1461,280,Eyn Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (838196.2755377758 1143818.3837607186),Valid,POINT (12.087643000186688 10.3325679996957)
678,281,Ngamma Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Magumeri,Borno,POINT (900155.9616044539 1371374.9939301715),Valid,POINT (12.678836999875216 12.380398000099945)
8281,316,Peta B Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (820563.0721561089 1144667.7833192807),Valid,POINT (11.926876999953777 10.341740999928334)
30154,282,Buralthuma Maternal and Child Care,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (910742.7568703915 1236541.004135196),Valid,POINT (12.75942999963439 11.162340000486779)
22882,283,Askira East B Saidu Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (928039.9989147775 1179919.5691718475),Valid,POINT (12.910804000485937 10.649426999986531)
4524,284,Kuburnbula Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (928786.7289833939 1205564.2256659402),Valid,POINT (12.920610000148656 10.880730000146059)
23750,285,Dominion Maternity Clinic Gomari,Functional,Primary,Maternity Home,2020-07-04T13:49:18,Jere,Borno,POINT (944006.1619037469 1311887.3094464266),Valid,POINT (13.07313999978561 11.838049999600004)
26655,286,Sadu Clinic and Maternity,Unknown,Primary,Maternity Home,2020-07-04T13:49:18,Kukawa,Borno,POINT (1023330.4050444722 1452782.9830585562),Valid,POINT (13.822646000039697 13.09628699951287)
3117,287,Mrs Fati Sherif Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1037533.3810963095 1360974.6593613937),Valid,POINT (13.937189999866973 12.266699999847505)
35,288,Borjino Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1061542.3750804893 1279601.8060717832),Invalid,POINT (14.143269999888616 11.529740000117839)
2264,289,Fas Child and Maternity Clinic,Unknown,Primary,Maternity Home,2020-07-04T13:49:18,Ngala,Borno,POINT (1077064.7550052404 1355582.178082116),Valid,POINT (14.298260000197045 12.211370000253394)
28460,290,Dumde Mugaire Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (962984.0585359188 1159204.9815516556),Valid,POINT (13.226934670000048 10.458447180000064)
3287,291,Duji Comprehensive Health Center,Functional,Primary,Comprehensive Health Center,2020-07-04T13:49:18,Mobbar,Borno,POINT (892001.842033891 1468857.41791629),Valid,POINT (12.616529999540546 13.261159999536345)
9045,292,Gudumbali Maternity and Child Hospital,Functional,Primary,Maternity Home,2020-07-04T13:49:18,Guzamala,Borno,POINT (953316.6108652245 1434814.5146484168),Valid,POINT (13.17602999969449 12.945500000060235)
4441,293,Gatibo Maternity and Child Hospital,Functional,Primary,Maternity Home,2020-07-04T13:49:18,Dikwa,Borno,POINT (1043458.9638581169 1343964.0490102395),Valid,POINT (13.988599999797659 12.112470000055508)
2330,294,Sigal Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1102767.5490831567 1364524.7753350474),Valid,POINT (14.535175000169659 12.287220999790577)
21931,295,Miringa Maternity Health Center,Functional,Primary,Maternity Home,2020-07-04T13:49:18,Biu,Borno,POINT (844120.5567844661 1187443.9306255903),Valid,POINT (12.145669999613347 10.726010000021065)
26015,296,Biu Town Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (849756.9973481973 1174799.232671378),Valid,POINT (12.195944999772848 10.611303000083065)
1911,297,Gur Lawan Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (853196.3296813484 1193373.8375438596),Valid,POINT (12.229113000308928 10.778705999825549)
12597,298,Eye Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (951834.742982433 1310752.6385076086),Valid,POINT (13.144671790000073 11.82677495000007)
10022,299,Cocin Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (1014148.4027987401 1227836.9747187544),Valid,POINT (13.702621148701619 11.070536451618272)
21783,300,Pompomari Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (943220.2055982449 1311702.54707033),Valid,POINT (13.065917969000054 11.836486816000045)
11849,301,Mission Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Ngala,Borno,POINT (1065717.6512519885 1374237.3880192386),Valid,POINT (14.19768999986445 12.381359999753615)
661,302,Samari Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (837405.617048803 1139827.2419952818),Valid,POINT (12.080081000048663 10.296592000251731)
1098,303,Pubagu Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (938590.3729898297 1167771.8666907381),Valid,POINT (13.005609999902163 10.53861299969361)
1700,304,Wurojam Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (831228.1708638067 1123166.7832676722),Valid,POINT (12.022319999802788 10.1466500003732)
3140,305,Dawal Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (796858.1104922751 1173147.9306804729),Valid,POINT (11.712852999534505 10.600927000033039)
671,306,Bindim Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (788955.1381764167 1148692.0569119535),Valid,POINT (11.63881100022644 10.380591000325069)
3479,307,Mussa A Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (950388.6029743688 1186909.5236033755),Valid,POINT (13.11548660228443 10.7098679165773)
11916,308,Rumirgo Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (940678.0805964007 1174786.9582667758),Valid,POINT (13.02547000039607 10.601659999531078)
376,309,Modu Kimari Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bama,Borno,POINT (1029857.9516739921 1298396.0732571378),Valid,POINT (13.856753695542562 11.70408612212956)
554,310,Ndaba Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (1040233.3131852504 1247037.6633838492),Valid,POINT (13.943533340653625 11.23972923735399)
20764,311,Sabon 2 Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (786129.7432267726 1167590.2226219268),Valid,POINT (11.614457999679756 10.551544000479623)
580,312,Duzuwa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (802367.3092787333 1204768.7633859252),Valid,POINT (11.765759000481637 10.886137999820503)
1024,313,Panana Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (802712.1520306848 1208312.2025433008),Valid,POINT (11.769206999824405 10.918118999550131)
2807,314,Pilak Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (810408.9194720655 1113792.0954327288),Valid,POINT (11.831777000337809 10.06365899998468)
645,315,Jauro Baba Wuro Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (814635.9275320948 1135562.6007786181),Valid,POINT (11.872061999709558 10.259981000376284)
1469,317,Taimako Medical Services,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (823151.5519204333 1146333.4095790554),Valid,POINT (11.950630000092815 10.356570000003957)
1460,318,Jakali Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (823163.7076793893 1146535.7960834496),Valid,POINT (11.950758000179801 10.358397000245304)
4291,319,Mai Anguwa Ali Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (830220.6992785595 1150992.7541730057),Valid,POINT (12.015519000181826 10.398054000190372)
3143,320,Pelatsingi Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (831136.1406179306 1153512.1895427762),Valid,POINT (12.024090000005401 10.420729999597656)
459,321,Kamuya Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Biu,Borno,POINT (834025.3399670864 1221552.6986611665),Valid,POINT (12.056620000108012 11.034969999944849)
2170,322,Shattium Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (838291.9393771499 1157267.4574918726),Valid,POINT (12.08970999959115 10.45402000021664)
1275,323,Gorgore Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (840690.0521217622 1244764.3237498258),Valid,POINT (12.119780000022274 11.24395999994374)
4971,324,Wakamaa Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (842192.3292593276 1175080.7361749047),Valid,POINT (12.126919999873564 10.61454000028243)
15562,325,Sarki Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Biu,Borno,POINT (846910.5213759614 1175629.0796631554),Valid,POINT (12.17004000017158 10.619060000353558)
29445,326,Maitaimako Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Biu,Borno,POINT (847636.5692117559 1175441.597076038),Valid,POINT (12.1766499996628 10.617300000157739)
39342,327,Machar Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Biu,Borno,POINT (848038.449438534 1175672.7246988057),Valid,POINT (12.180340000169961 10.619349999550593)
32114,328,Mai Mustapha Memorial Clinic Biv,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Biu,Borno,POINT (848655.8779005725 1175181.8303082094),Valid,POINT (12.185929999968096 10.614860000499844)
9949,329,Betsasda Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Biu,Borno,POINT (850998.0179375669 1173496.0665521089),Valid,POINT (12.207150000386095 10.599420000009106)
14981,330,Bilingwi Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (856505.8864388766 1165357.9777018928),Valid,POINT (12.256646000016303 10.525419999729593)
21525,331,Hassan Gana Ngamdu Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Kaga,Borno,POINT (855627.8037521045 1302115.7436803293),Valid,POINT (12.262379999912296 11.760319999786134)
1383,332,Lawan Lokoja Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (857507.763659182 1149539.0443089188),Valid,POINT (12.264294000212773 10.382487999614)
977,333,Ajigin Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (858237.2906454285 1236660.1063251116),Valid,POINT (12.279459999517314 11.16906000005275)
563,334,Talala Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (862037.5117786756 1242412.1026091962),Valid,POINT (12.314799999529214 11.220610000078524)
16085,335,Shaffa Primary Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Hawul,Borno,POINT (864297.5192760326 1164021.0814217879),Valid,POINT (12.327610000232994 10.512610000025802)
1863,336,Nguma Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (867556.2841736168 1188246.8337110784),Valid,POINT (12.359733000059066 10.731021000425812)
240,337,Chirallia Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (867452.9045922107 1234199.6452102398),Valid,POINT (12.363467999596821 11.145911000324077)
1600,338,Pelabirni Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (869102.3155518479 1152300.0976035527),Valid,POINT (12.370303000240881 10.406322999808765)
71,339,Burgumma Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kaga,Borno,POINT (871447.8195939118 1284622.131649446),Invalid,POINT (12.405400000087639 11.60070000033181)
1219,340,Dusula Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (879281.75556436 1243575.9541271878),Valid,POINT (12.47261599975775 11.22931999999656)
26,341,Baba Gara Konto Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Nganzai,Borno,POINT (952230.3200181681 1384533.5025803794),Invalid,POINT (13.158639999878858 12.492180000050608)
9083,342,Damaoak General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Mobbar,Borno,POINT (880164.6363085662 1450213.0866698388),Valid,POINT (12.505069999808711 13.094410000237588)
3591,343,Ghung Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (885642.9005079921 1153009.3985622649),Valid,POINT (12.52121499977852 10.411102000055903)
1973,344,Auma Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (887166.7114059834 1224989.5916427758),Valid,POINT (12.542680000362964 11.060700000427175)
2113,345,Korede Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (887394.5729083985 1224047.9747240096),Valid,POINT (12.544659999708301 11.052175999635551)
353,346,Tobalo Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kaga,Borno,POINT (887278.4385640696 1279944.2277537736),Valid,POINT (12.549810000207456 11.556730000456296)
4438,347,Multe Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (894210.2647763765 1213041.9705083559),Valid,POINT (12.60572900020179 10.95209899963794)
821,348,Biji Biji Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (895496.2973082892 1161088.7944222928),Valid,POINT (12.61190500039811 10.48302699992553)
150,349,Abulum Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Kaga,Borno,POINT (894561.723909251 1259782.1303068572),Valid,POINT (12.614159999930282 11.373930000252242)
113,350,Binduldul Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Gubio,Borno,POINT (894767.2455323766 1417601.0338740794),Valid,POINT (12.635243000255173 12.798241000004621)
687,351,Wawa Lawanti Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (899263.532479967 1228637.8343044077),Valid,POINT (12.653623999744186 11.09230999990473)
396,352,Foi Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kaga,Borno,POINT (900180.7943938829 1250682.7389665942),Valid,POINT (12.664510000140696 11.291170000020715)
170,353,Yajiwa Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Kaga,Borno,POINT (906458.0547865527 1261555.9029610357),Valid,POINT (12.72318000000422 11.388580000206273)
625,354,Ardoram Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Magumeri,Borno,POINT (906639.3637237726 1356945.8738630477),Valid,POINT (12.736509000060666 12.249379000078703)
3308,355,Bula Kudugu Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (909139.2568737684 1185735.264913084),Valid,POINT (12.739019999766755 10.704020000079879)
33656,356,Damboa Town Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (910148.3681898573 1236275.3698438837),Valid,POINT (12.753966999922568 11.16001099990433)
2537,357,Sandia Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (916729.6215642144 1243764.2097756853),Valid,POINT (12.814997000389553 11.226828000303385)
195,358,Nyaleri Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (920286.8262558489 1251335.7469759588),Valid,POINT (12.848420000098937 11.294730000439586)
460,359,Kingowa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gubio,Borno,POINT (919444.6211960556 1396610.9397594042),Valid,POINT (12.859272000472346 12.605631000135189)
0,360,Alhajiri Primary Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (923619.7938538772 1271311.419907185),Invalid,POINT (12.881336000463818 11.474570999633102)
832,361,Mbulabam Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (927940.7331353959 1201253.1107022136),Valid,POINT (12.912379999556721 10.841929999783249)
2687,362,Talata Nga Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Abadam,Borno,POINT (927796.3807542709 1495546.1968761387),Valid,POINT (12.950160000226449 13.497019999792142)
34,363,Talbari Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Konduga,Borno,POINT (933615.247692256 1279468.8082039836),Invalid,POINT (12.973800000288747 11.546933999800329)
88,364,Mustaphawari Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (935517.4121701923 1277803.3799332033),Invalid,POINT (12.990989999968518 11.53167000042919)
167,365,Masba Abbari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (938606.0531606821 1285287.9102070865),Valid,POINT (13.020209999822157 11.598800000040852)
1194,366,Kuburvi Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (940088.0221373622 1210762.4514291957),Valid,POINT (13.024399999669072 10.926290000101915)
309,367,Dembo Mussa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (941168.6922572028 1178301.5127029147),Valid,POINT (13.0303599997186 10.633310000035808)
76,368,Shattaram Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Gubio,Borno,POINT (938140.7708348038 1401495.542991097),Invalid,POINT (13.031691999623602 12.64715400034811)
332,369,Dalwa West Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Konduga,Borno,POINT (940412.9916763536 1292173.0151272055),Valid,POINT (13.037639999665032 11.660680000085389)
57,370,Karnowa Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Magumeri,Borno,POINT (943501.7809267341 1345131.877646532),Invalid,POINT (13.073023999706777 12.137997000399878)
510,371,Ngwalimiri Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (946471.6185047368 1251691.5072162116),Valid,POINT (13.087817999758613 11.294730000439587)
13614,372,Ambursa Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (947927.158193823 1317326.6141818888),Valid,POINT (13.109780999681446 11.886593999583338)
25,373,Ajiri Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (948706.2665795004 1292240.9014353966),Invalid,POINT (13.1135450002389 11.660214999769435)
25020,374,Federal Neuro Psychiatric Hospital,Functional,Tertiary,Specialist Hospital,2020-07-04T13:49:18,Maiduguri,Borno,POINT (948945.9559715579 1314948.9064246158),Valid,POINT (13.11878899980195 11.865010999918695)
39137,375,Kwatam Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (950612.2910239347 1314781.4916625272),Valid,POINT (13.134026000154789 11.863277999741227)
16088,376,Mustashfa Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (951190.1294385996 1309953.034621478),Valid,POINT (13.138661000304012 11.819649000097398)
2705,377,Huyim Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (953252.9229771511 1193389.1419424186),Valid,POINT (13.142409999851282 10.76796999953092)
31692,378,Chest Diseases Screening Center,Functional,Tertiary,Specialist Hospital,2020-07-04T13:49:18,Maiduguri,Borno,POINT (951561.0259427355 1313254.8662481296),Valid,POINT (13.142505999916525 11.84938100029888)
17334,379,Borno Orthopaedic Center,Functional,Tertiary,Specialist Hospital,2020-07-04T13:49:18,Maiduguri,Borno,POINT (951892.5241785869 1308243.996167647),Valid,POINT (13.144859999515973 11.804139999559768)
323,380,Wasada Dispensary Nkurvu,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (953903.4644907808 1201813.441249707),Valid,POINT (13.149389999593895 10.843880000108186)
65797,381,City Hospital,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (952573.729699651 1313948.799471651),Valid,POINT (13.15187400028168 11.855504000459176)
22076,382,Garbwala Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (954229.5554973882 1308754.924912825),Valid,POINT (13.166326000101094 11.808435000477967)
61865,383,State Psychatric Hospital,Functional,Tertiary,Specialist Hospital,2020-07-04T13:49:18,Maiduguri,Borno,POINT (954358.3102273615 1313471.8866085347),Valid,POINT (13.168150000340404 11.850962000373102)
1461,384,Ribadu Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (956268.6316504651 1180105.2809395522),Valid,POINT (13.168280000428751 10.64777899986677)
1040,385,Mulgoi Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (955822.7673963348 1247003.557285964),Valid,POINT (13.172668000410226 11.251252999899007)
23978,386,21 Brigade Medical Center,Functional,Secondary,Military and Paramilitary Clinic,2020-07-04T13:49:18,Jere,Borno,POINT (955023.5177290025 1307547.729890156),Valid,POINT (13.173429999927917 11.797440000007386)
21554,387,Heman Diagonostic and Hospital Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (955857.9986720709 1308938.791315792),Valid,POINT (13.181260000248074 11.80987400045575)
30985,388,Chase Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (955970.481455036 1313747.5210100873),Valid,POINT (13.182950000396318 11.853229999914106)
56325,389,Koshebe Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (956277.8271805504 1312917.255409529),Valid,POINT (13.185650000230853 11.84569999979783)
674,390,Badu Primary Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Nganzai,Borno,POINT (958578.7761302672 1407768.2391660046),Valid,POINT (13.220340999801747 12.700811999806206)
12617,391,Tamus Ngamdaa Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (962165.935209584 1315271.610519923),Valid,POINT (13.239890000084415 11.866129999679002)
162,392,Baba Gara Kolomi Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Nganzai,Borno,POINT (962550.9162108873 1355102.8148631738),Valid,POINT (13.249070000321753 12.22528999971138)
270,393,Dengelti A Primary Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (963304.8280220648 1313053.5779658796),Valid,POINT (13.25000799995911 11.845969999981264)
15,394,Mbuta Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (963213.1546965439 1334571.5322692718),Invalid,POINT (13.252200000448454 12.04003999984269)
696,395,Guzamala Lawanti Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Guzamala,Borno,POINT (964899.4984368713 1403472.0945932125),Valid,POINT (13.277749999808464 12.661139999850944)
75,396,Torowa Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Nganzai,Borno,POINT (965771.8079121702 1390140.2287382872),Invalid,POINT (13.28375999989197 12.5407900000788)
15,397,Masu Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (968728.5149633954 1352864.1092813173),Invalid,POINT (13.305379999581762 12.20422000039531)
735,398,Yafa Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (971596.8592506973 1194683.3830606525),Valid,POINT (13.309903999655603 10.77735799990961)
195,399,Gawa Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (970217.7599805015 1317509.0530355587),Valid,POINT (13.31393000039111 11.885189999629402)
102,400,Bulanjilin Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (971778.3368000167 1244454.7923983927),Valid,POINT (13.318101000225111 11.226183999865778)
554,401,Arge Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Abadam,Borno,POINT (968831.1910397352 1495154.6504540662),Valid,POINT (13.328270000134466 13.487240000147096)
368,402,Loskuri Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (973078.6147070033 1317202.092357105),Valid,POINT (13.340080000158766 11.882020000475565)
9311,403,Mallam Fatori Primary Health Care,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Abadam,Borno,POINT (969952.2861381809 1514831.2583690984),Valid,POINT (13.341830000347839 13.664469999566561)
461,404,Zuma Kumogun Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Nganzai,Borno,POINT (973383.3611831333 1377937.203024408),Valid,POINT (13.351781000109042 12.429631999552154)
22,405,Abduri Primary Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (975943.5098597375 1302203.040699348),Invalid,POINT (13.364163999522702 11.746367000305723)
40,406,Sherrifkyari Primary Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (976198.5465487356 1305580.918119842),Invalid,POINT (13.366979000435379 11.776789999976698)
282,407,Damakuli Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Monguno,Borno,POINT (977313.8449466454 1360194.290759332),Valid,POINT (13.385169999795323 12.269070000457816)
3965,408,Konduga General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Konduga,Borno,POINT (980716.919424477 1292387.3423434373),Valid,POINT (13.4064400002473 11.65718999971409)
24,409,Loskuri Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Mafa,Borno,POINT (980531.5477505713 1311789.7657087005),Invalid,POINT (13.40752899998722 11.832160999598667)
1642,410,Metele Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Abadam,Borno,POINT (979445.8652816408 1481066.211200087),Valid,POINT (13.423729999995032 13.358519999687871)
47,411,Yabal Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Konduga,Borno,POINT (983429.1320111078 1300893.0746587918),Invalid,POINT (13.432471999934819 11.733498999562471)
8,412,Maidurmari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (989132.637796123 1278935.615001695),Invalid,POINT (13.481480000233434 11.534719999501533)
4,413,Mairami Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (989828.7147506416 1286342.4755813226),Invalid,POINT (13.488910000281747 11.601399999807425)
139,414,Buwa Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (990227.1733632695 1398123.7419582945),Valid,POINT (13.509460000244529 12.609080000478626)
69,415,Masfa Lawanti Primary Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (992471.6776784972 1350016.286257432),Invalid,POINT (13.522566000149425 12.175053999578378)
2150,416,Kawuri Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (994714.5422855987 1283612.5135803358),Valid,POINT (13.533190000367936 11.576089999610474)
